4519,6001860,"Mckenzie                                                                                            ","Altenwerth                                                                                ",1,75584
9037,5067011,"Stanton                                                                                             ","Howe                                                                                      ",0,8542
206,4472669,"Madelynn                                                                                            ","Dietrich                                                                                  ",1,9494
994,3467064,"Marge                                                                                               ","Bernhard                                                                                  ",976,51427
306,2646291,"Alek                                                                                                ","Hagenes                                                                                   ",1,4723
2930,439548,"Retta                                                                                               ","Wolf                                                                                      ",1894208277,97370
758,43884,"Rachel                                                                                              ","Labadie                                                                                   ",0,140
543,6173675,"Adelle                                                                                              ","Spencer                                                                                   ",0,25080
4866,404292,"Kiley                                                                                               ","Cartwright                                                                                ",38,439
6939,6769894,"Thalia                                                                                              ","Keeling                                                                                   ",0,48238
7171,4859726,"Trace                                                                                               ","Rosenbaum                                                                                 ",1,7649
4,403783,"Golda                                                                                               ","Brakus                                                                                    ",616859,59691
5389,44737,"Leland                                                                                              ","Pouros                                                                                    ",0,65595
949,454605,"Hardy                                                                                               ","Mante                                                                                     ",723,12346
340,348152,"Griffin                                                                                             ","Baumbach                                                                                  ",1,91275
2799,30544,"Amos                                                                                                ","Parisian                                                                                  ",0,7439
2651,4368295,"Minnie                                                                                              ","Powlowski                                                                                 ",64,94700
2387,684437,"Caleigh                                                                                             ","Steuber                                                                                   ",43,90606
1864,6115273,"Gladyce                                                                                             ","Armstrong                                                                                 ",747230,79053
3814,2003794,"Shawna                                                                                              ","Littel                                                                                    ",14691,94960
401,2517602,"Ophelia                                                                                             ","Gleichner                                                                                 ",889527,84951
5123,448564,"Amelie                                                                                              ","Jerde                                                                                     ",1,69804
1607,2263292,"Eugenia                                                                                             ","Greenfelder                                                                               ",887994,6430
3817,2375079,"Isobel                                                                                              ","Maggio                                                                                    ",22,9747
5138,3772759,"Magali                                                                                              ","Fadel                                                                                     ",0,61526
929,461479,"Hiram                                                                                               ","Steuber                                                                                   ",62,80393
2923,6680687,"Destini                                                                                             ","Stamm                                                                                     ",61,69682
173,579543,"Bridgette                                                                                           ","Wolf                                                                                      ",68,13466
8069,5803452,"Jabari                                                                                              ","Kuhlman                                                                                   ",662,7466
90,4444260,"Lucas                                                                                               ","Upton                                                                                     ",1,4891
3485,446408,"Brandon                                                                                             ","Willms                                                                                    ",0,6449
584,4676039,"Sheila                                                                                              ","Kertzmann                                                                                 ",484,86809
3873,3020462,"Bobby                                                                                               ","Spinka                                                                                    ",1,11269
7622,5539913,"Jerrell                                                                                             ","Nader                                                                                     ",498736,4760
4849,6684296,"Tristin                                                                                             ","Stiedemann                                                                                ",47,943
8844,4372602,"Crawford                                                                                            ","Anderson                                                                                  ",0,54362
7639,442784,"Vidal                                                                                               ","Wehner                                                                                    ",1,4275
6275,4463,"Tad                                                                                                 ","Gorczany                                                                                  ",0,71096
493,6525665,"Kaycee                                                                                              ","DuBuque                                                                                   ",0,80294
5817,2067781,"Jada                                                                                                ","Moore                                                                                     ",1,87778
427,5961496,"Jessika                                                                                             ","Tremblay                                                                                  ",66458,85513
6345,2293862,"Kiera                                                                                               ","Hartmann                                                                                  ",322,46065
6506,6189260,"Mitchell                                                                                            ","Breitenberg                                                                               ",0,57796
8560,444784,"Arch                                                                                                ","Gleason                                                                                   ",0,29202
7365,6073896,"Triston                                                                                             ","Wyman                                                                                     ",0,50438
443,5891477,"Vincent                                                                                             ","Beahan                                                                                    ",164257,4443
41,420407,"Crystal                                                                                             ","Barton                                                                                    ",97,27995
9858,454177,"Ozella                                                                                              ","Cole                                                                                      ",705,46857
44,4761845,"Lura                                                                                                ","Corkery                                                                                   ",1,44390
